date,category,item1,item2,item3,item4,difficulty
01-07,Motor neuron diseases,ALS,SMA,PLS,PMA,blue
01-07,Peripheral neuropathy types,Axonal,Demyelinating,Small fiber,Large fiber,purple
01-08,Tremor types,Rest,Postural,Intention,Task-specific,yellow
01-08,Pediatric epilepsy syndromes,West (infantile spasms),Lennox–Gastaut,Dravet,Childhood absence epilepsy,green
01-08,Gait patterns,Hemiparetic,Ataxic,Steppage,Parkinsonian,blue
01-08,Toxic neuropathies,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
01-09,Seizure types (ILAE),Focal aware,Focal impaired awareness,Generalized tonic-clonic,Absence,yellow
01-09,Parkinson therapies,Levodopa,Pramipexole,Selegiline,Amantadine,green
01-09,Evoked potentials,VEP,SSEP,BAER,MEP,blue
01-09,GBS variants,AIDP,AMAN,AMSAN,Miller Fisher,purple
01-10,Hearing loss types,Conductive,Sensorineural,Mixed,Central,yellow
01-10,Brainstem stroke syndromes,Lateral medullary,Medial medullary,Lateral pontine,Medial pontine,green
01-10,MS disease-modifying therapies,Ocrelizumab,Natalizumab,Fingolimod,Teriflunomide,blue
01-10,Stroke mimics,Seizure,Hemiplegic migraine,Hypoglycemia,Conversion disorder,purple
01-11,Hydrocephalus categories,Communicating,Obstructive (non-communicating),Normal pressure,Ex vacuo,yellow
01-11,Eye movement disorders,Internuclear ophthalmoplegia,Skew deviation,Parinaud syndrome,One-and-a-half syndrome,green
01-11,Status epilepticus sequence,Benzodiazepine,Levetiracetam,Fosphenytoin,Propofol,blue
01-11,Antiplatelets for stroke,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
01-12,Headache red flags (SNOOP),Systemic,Neurologic,Onset sudden,Older age,yellow
01-12,NMJ antibodies,Anti–AChR,Anti–MuSK,Anti–LRP4,Anti–P/Q-type VGCC,green
01-12,Common mononeuropathies,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
01-12,Direct oral anticoagulants,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
01-13,Common reflexes,Biceps,Triceps,Patellar,Achilles,yellow
01-13,Aphasia types,Broca,Wernicke,Conduction,Global,green
01-13,Demyelination on NCS/EMG,Slowed velocity,Conduction block,Prolonged distal latency,Temporal dispersion,blue
01-13,CVT imaging signs,Empty delta sign,Cord sign,SWI blooming,Hyperdense sinus,purple
01-14,Peripheral nerve fiber types,A-alpha,A-beta,A-delta,C,yellow
01-14,Carotid artery disorders,Dissection,Fibromuscular dysplasia,Atherosclerosis,Pseudoaneurysm,green
01-14,Pupillary syndromes,Horner,Argyll Robertson,Adie tonic pupil,Marcus Gunn RAPD,blue
01-14,Huntington disease features,Chorea,Psychiatric symptoms,Cognitive decline,Caudate atrophy,purple
01-15,Common stroke imaging,Non-contrast CT,CTA,CT Perfusion,MRI DWI,yellow
01-15,Prehospital LVO scales,RACE,LAMS,FAST-ED,PASS,green
01-15,Thunderclap headache causes,SAH,RCVS,Cervical dissection,Cerebral venous thrombosis,blue
01-15,Mitochondrial disorders,MELAS,MERRF,LHON,Leigh,purple
01-16,Parkinson cardinal features,Bradykinesia,Rigidity,Rest tremor,Postural instability,yellow
01-16,Visual pathway anatomy (retinotopy),Macula,Nasal retina,Temporal retina,Fovea,green
01-16,Focal seizure semiologies,Automotor,Aphasic,Hypermotor,Somatosensory,blue
01-16,Autoimmune myositis Abs,Anti–Jo-1,Mi-2,SRP,HMGCR,purple
01-17,Visual field defects,Bitemporal hemianopia,Homonymous hemianopia,Quadrantanopia,Central scotoma,yellow
01-17,CSF flow structures,Choroid plexus,Foramen of Monro,Aqueduct of Sylvius,Foramina of Luschka/Magendie,green
01-17,Ataxia types,Cerebellar,Sensory,Vestibular,Frontal,blue
01-17,Paraneoplastic syndromes,Lambert-Eaton,Opsoclonus–myoclonus,Subacute cerebellar degeneration,Sensory neuronopathy,purple
01-18,Cerebral lobes,Frontal,Parietal,Temporal,Occipital,yellow
01-18,Posterior circulation arteries,PICA,AICA,SCA,PCA,green
01-18,Basal ganglia nuclei,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
01-18,Thalamic relay nuclei,VPL,VPM,LGN,MGN,purple
01-19,Normal EEG rhythms,Alpha,Beta,Theta,Delta,yellow
01-19,Association fiber tracts,Arcuate fasciculus,Uncinate fasciculus,Cingulum,Inferior longitudinal fasciculus,green
01-19,Autoimmune encephalitis antibodies,Anti-NMDA,LGI1,CASPR2,GAD65,blue
01-19,Spinal cord syndromes,Anterior cord,Posterior cord,Central cord,Brown-Séquard,purple
01-20,Sleep stages,N1,N2,N3,REM,yellow
01-20,Major spinal cord tracts,Lateral corticospinal,Spinothalamic,Dorsal column–medial lemniscus,Spinocerebellar,green
01-20,Classic lacunar syndromes,Pure motor,Pure sensory,Ataxic hemiparesis,Dysarthria–clumsy hand,blue
01-20,CNS infections (immunocompromised),Toxoplasmosis,Cryptococcal meningitis,CMV encephalitis,PML,purple
01-21,Dementia types,Alzheimer,Lewy body,Frontotemporal,Vascular,yellow
01-21,Cranial nerves with parasympathetics,III (Oculomotor),VII (Facial),IX (Glossopharyngeal),X (Vagus),green
01-21,Cerebellar deep nuclei,Dentate,Emboliform,Globose,Fastigial,blue
01-21,Dementia medications,Donepezil,Rivastigmine,Galantamine,Memantine,purple
01-22,MRI sequences,T1,T2,FLAIR,DWI,yellow
01-22,Early ischemic CT signs,Hyperdense MCA sign,Insular ribbon loss,Loss of gray–white,Sulcal effacement,green
01-22,CNS demyelinating disorders,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
01-22,Migraine abortives,Sumatriptan,Ubrogepant,Rimegepant,Dihydroergotamine,purple
01-23,Visual pathway anatomy,Optic nerve,Optic chiasm,Optic tract,Optic radiations,yellow
01-23,MS lesion topography,Periventricular,Juxtacortical,Infratentorial,Spinal cord,green
01-23,Neuromuscular junction disorders,Myasthenia gravis,Lambert-Eaton,Botulism,Congenital myasthenic,blue
01-23,Migraine preventives,Topiramate,Propranolol,Amitriptyline,Erenumab,purple
01-24,Glial cell types,Astrocyte,Oligodendrocyte,Microglia,Ependymal cell,yellow
01-24,Trigeminal autonomic cephalalgias,Cluster headache,Paroxysmal hemicrania,SUNCT,SUNA,green
01-24,Motor neuron diseases,ALS,SMA,PLS,PMA,blue
01-24,Peripheral neuropathy types,Axonal,Demyelinating,Small fiber,Large fiber,purple
01-25,Tremor types,Rest,Postural,Intention,Task-specific,yellow
01-25,Pediatric epilepsy syndromes,West (infantile spasms),Lennox–Gastaut,Dravet,Childhood absence epilepsy,green
01-25,Gait patterns,Hemiparetic,Ataxic,Steppage,Parkinsonian,blue
01-25,Toxic neuropathies,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
01-26,Seizure types (ILAE),Focal aware,Focal impaired awareness,Generalized tonic-clonic,Absence,yellow
01-26,Parkinson therapies,Levodopa,Pramipexole,Selegiline,Amantadine,green
01-26,Evoked potentials,VEP,SSEP,BAER,MEP,blue
01-26,GBS variants,AIDP,AMAN,AMSAN,Miller Fisher,purple
01-27,Hearing loss types,Conductive,Sensorineural,Mixed,Central,yellow
01-27,Brainstem stroke syndromes,Lateral medullary,Medial medullary,Lateral pontine,Medial pontine,green
01-27,MS disease-modifying therapies,Ocrelizumab,Natalizumab,Fingolimod,Teriflunomide,blue
01-27,Stroke mimics,Seizure,Hemiplegic migraine,Hypoglycemia,Conversion disorder,purple
01-28,Hydrocephalus categories,Communicating,Obstructive (non-communicating),Normal pressure,Ex vacuo,yellow
01-28,Eye movement disorders,Internuclear ophthalmoplegia,Skew deviation,Parinaud syndrome,One-and-a-half syndrome,green
01-28,Status epilepticus sequence,Benzodiazepine,Levetiracetam,Fosphenytoin,Propofol,blue
01-28,Antiplatelets for stroke,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
01-29,Headache red flags (SNOOP),Systemic,Neurologic,Onset sudden,Older age,yellow
01-29,NMJ antibodies,Anti–AChR,Anti–MuSK,Anti–LRP4,Anti–P/Q-type VGCC,green
01-29,Common mononeuropathies,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
01-29,Direct oral anticoagulants,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
01-30,Common reflexes,Biceps,Triceps,Patellar,Achilles,yellow
01-30,Aphasia types,Broca,Wernicke,Conduction,Global,green
01-30,Demyelination on NCS/EMG,Slowed velocity,Conduction block,Prolonged distal latency,Temporal dispersion,blue
01-30,CVT imaging signs,Empty delta sign,Cord sign,SWI blooming,Hyperdense sinus,purple
01-31,Peripheral nerve fiber types,A-alpha,A-beta,A-delta,C,yellow
01-31,Carotid artery disorders,Dissection,Fibromuscular dysplasia,Atherosclerosis,Pseudoaneurysm,green
01-31,Pupillary syndromes,Horner,Argyll Robertson,Adie tonic pupil,Marcus Gunn RAPD,blue
01-31,Huntington disease features,Chorea,Psychiatric symptoms,Cognitive decline,Caudate atrophy,purple
02-01,Common stroke imaging,Non-contrast CT,CTA,CT Perfusion,MRI DWI,yellow
02-01,Prehospital LVO scales,RACE,LAMS,FAST-ED,PASS,green
02-01,Thunderclap headache causes,SAH,RCVS,Cervical dissection,Cerebral venous thrombosis,blue
02-01,Mitochondrial disorders,MELAS,MERRF,LHON,Leigh,purple
02-02,Parkinson cardinal features,Bradykinesia,Rigidity,Rest tremor,Postural instability,yellow
02-02,Visual pathway anatomy (retinotopy),Macula,Nasal retina,Temporal retina,Fovea,green
02-02,Focal seizure semiologies,Automotor,Aphasic,Hypermotor,Somatosensory,blue
02-02,Autoimmune myositis Abs,Anti–Jo-1,Mi-2,SRP,HMGCR,purple
02-03,Visual field defects,Bitemporal hemianopia,Homonymous hemianopia,Quadrantanopia,Central scotoma,yellow
02-03,CSF flow structures,Choroid plexus,Foramen of Monro,Aqueduct of Sylvius,Foramina of Luschka/Magendie,green
02-03,Ataxia types,Cerebellar,Sensory,Vestibular,Frontal,blue
02-03,Paraneoplastic syndromes,Lambert-Eaton,Opsoclonus–myoclonus,Subacute cerebellar degeneration,Sensory neuronopathy,purple
02-04,Cerebral lobes,Frontal,Parietal,Temporal,Occipital,yellow
02-04,Posterior circulation arteries,PICA,AICA,SCA,PCA,green
02-04,Basal ganglia nuclei,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
02-04,Thalamic relay nuclei,VPL,VPM,LGN,MGN,purple
02-05,Normal EEG rhythms,Alpha,Beta,Theta,Delta,yellow
02-05,Association fiber tracts,Arcuate fasciculus,Uncinate fasciculus,Cingulum,Inferior longitudinal fasciculus,green
02-05,Autoimmune encephalitis antibodies,Anti-NMDA,LGI1,CASPR2,GAD65,blue
02-05,Spinal cord syndromes,Anterior cord,Posterior cord,Central cord,Brown-Séquard,purple
02-06,Sleep stages,N1,N2,N3,REM,yellow
02-06,Major spinal cord tracts,Lateral corticospinal,Spinothalamic,Dorsal column–medial lemniscus,Spinocerebellar,green
02-06,Classic lacunar syndromes,Pure motor,Pure sensory,Ataxic hemiparesis,Dysarthria–clumsy hand,blue
02-06,CNS infections (immunocompromised),Toxoplasmosis,Cryptococcal meningitis,CMV encephalitis,PML,purple
02-07,Dementia types,Alzheimer,Lewy body,Frontotemporal,Vascular,yellow
02-07,Cranial nerves with parasympathetics,III (Oculomotor),VII (Facial),IX (Glossopharyngeal),X (Vagus),green
02-07,Cerebellar deep nuclei,Dentate,Emboliform,Globose,Fastigial,blue
02-07,Dementia medications,Donepezil,Rivastigmine,Galantamine,Memantine,purple
02-08,MRI sequences,T1,T2,FLAIR,DWI,yellow
02-08,Early ischemic CT signs,Hyperdense MCA sign,Insular ribbon loss,Loss of gray–white,Sulcal effacement,green
02-08,CNS demyelinating disorders,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
02-08,Migraine abortives,Sumatriptan,Ubrogepant,Rimegepant,Dihydroergotamine,purple
02-09,Visual pathway anatomy,Optic nerve,Optic chiasm,Optic tract,Optic radiations,yellow
02-09,MS lesion topography,Periventricular,Juxtacortical,Infratentorial,Spinal cord,green
02-09,Neuromuscular junction disorders,Myasthenia gravis,Lambert-Eaton,Botulism,Congenital myasthenic,blue
02-09,Migraine preventives,Topiramate,Propranolol,Amitriptyline,Erenumab,purple
02-10,Glial cell types,Astrocyte,Oligodendrocyte,Microglia,Ependymal cell,yellow
02-10,Trigeminal autonomic cephalalgias,Cluster headache,Paroxysmal hemicrania,SUNCT,SUNA,green
02-10,Motor neuron diseases,ALS,SMA,PLS,PMA,blue
02-10,Peripheral neuropathy types,Axonal,Demyelinating,Small fiber,Large fiber,purple
02-11,Tremor types,Rest,Postural,Intention,Task-specific,yellow
02-11,Pediatric epilepsy syndromes,West (infantile spasms),Lennox–Gastaut,Dravet,Childhood absence epilepsy,green
02-11,Gait patterns,Hemiparetic,Ataxic,Steppage,Parkinsonian,blue
02-11,Toxic neuropathies,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
02-12,Seizure types (ILAE),Focal aware,Focal impaired awareness,Generalized tonic-clonic,Absence,yellow
02-12,Parkinson therapies,Levodopa,Pramipexole,Selegiline,Amantadine,green
02-12,Evoked potentials,VEP,SSEP,BAER,MEP,blue
02-12,GBS variants,AIDP,AMAN,AMSAN,Miller Fisher,purple
02-13,Hearing loss types,Conductive,Sensorineural,Mixed,Central,yellow
02-13,Brainstem stroke syndromes,Lateral medullary,Medial medullary,Lateral pontine,Medial pontine,green
02-13,MS disease-modifying therapies,Ocrelizumab,Natalizumab,Fingolimod,Teriflunomide,blue
02-13,Stroke mimics,Seizure,Hemiplegic migraine,Hypoglycemia,Conversion disorder,purple
02-14,Hydrocephalus categories,Communicating,Obstructive (non-communicating),Normal pressure,Ex vacuo,yellow
02-14,Eye movement disorders,Internuclear ophthalmoplegia,Skew deviation,Parinaud syndrome,One-and-a-half syndrome,green
02-14,Status epilepticus sequence,Benzodiazepine,Levetiracetam,Fosphenytoin,Propofol,blue
02-14,Antiplatelets for stroke,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
02-15,Headache red flags (SNOOP),Systemic,Neurologic,Onset sudden,Older age,yellow
02-15,NMJ antibodies,Anti–AChR,Anti–MuSK,Anti–LRP4,Anti–P/Q-type VGCC,green
02-15,Common mononeuropathies,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
02-15,Direct oral anticoagulants,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
02-16,Common reflexes,Biceps,Triceps,Patellar,Achilles,yellow
02-16,Aphasia types,Broca,Wernicke,Conduction,Global,green
02-16,Demyelination on NCS/EMG,Slowed velocity,Conduction block,Prolonged distal latency,Temporal dispersion,blue
02-16,CVT imaging signs,Empty delta sign,Cord sign,SWI blooming,Hyperdense sinus,purple
02-17,Peripheral nerve fiber types,A-alpha,A-beta,A-delta,C,yellow
02-17,Carotid artery disorders,Dissection,Fibromuscular dysplasia,Atherosclerosis,Pseudoaneurysm,green
02-17,Pupillary syndromes,Horner,Argyll Robertson,Adie tonic pupil,Marcus Gunn RAPD,blue
02-17,Huntington disease features,Chorea,Psychiatric symptoms,Cognitive decline,Caudate atrophy,purple
02-18,Common stroke imaging,Non-contrast CT,CTA,CT Perfusion,MRI DWI,yellow
02-18,Prehospital LVO scales,RACE,LAMS,FAST-ED,PASS,green
02-18,Thunderclap headache causes,SAH,RCVS,Cervical dissection,Cerebral venous thrombosis,blue
02-18,Mitochondrial disorders,MELAS,MERRF,LHON,Leigh,purple
02-19,Parkinson cardinal features,Bradykinesia,Rigidity,Rest tremor,Postural instability,yellow
02-19,Visual pathway anatomy (retinotopy),Macula,Nasal retina,Temporal retina,Fovea,green
02-19,Focal seizure semiologies,Automotor,Aphasic,Hypermotor,Somatosensory,blue
02-19,Autoimmune myositis Abs,Anti–Jo-1,Mi-2,SRP,HMGCR,purple
02-20,Visual field defects,Bitemporal hemianopia,Homonymous hemianopia,Quadrantanopia,Central scotoma,yellow
02-20,CSF flow structures,Choroid plexus,Foramen of Monro,Aqueduct of Sylvius,Foramina of Luschka/Magendie,green
02-20,Ataxia types,Cerebellar,Sensory,Vestibular,Frontal,blue
02-20,Paraneoplastic syndromes,Lambert-Eaton,Opsoclonus–myoclonus,Subacute cerebellar degeneration,Sensory neuronopathy,purple
02-21,Cerebral lobes,Frontal,Parietal,Temporal,Occipital,yellow
02-21,Posterior circulation arteries,PICA,AICA,SCA,PCA,green
02-21,Basal ganglia nuclei,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
02-21,Thalamic relay nuclei,VPL,VPM,LGN,MGN,purple
02-22,Normal EEG rhythms,Alpha,Beta,Theta,Delta,yellow
02-22,Association fiber tracts,Arcuate fasciculus,Uncinate fasciculus,Cingulum,Inferior longitudinal fasciculus,green
02-22,Autoimmune encephalitis antibodies,Anti-NMDA,LGI1,CASPR2,GAD65,blue
02-22,Spinal cord syndromes,Anterior cord,Posterior cord,Central cord,Brown-Séquard,purple
02-23,Sleep stages,N1,N2,N3,REM,yellow
02-23,Major spinal cord tracts,Lateral corticospinal,Spinothalamic,Dorsal column–medial lemniscus,Spinocerebellar,green
02-23,Classic lacunar syndromes,Pure motor,Pure sensory,Ataxic hemiparesis,Dysarthria–clumsy hand,blue
02-23,CNS infections (immunocompromised),Toxoplasmosis,Cryptococcal meningitis,CMV encephalitis,PML,purple
02-24,Dementia types,Alzheimer,Lewy body,Frontotemporal,Vascular,yellow
02-24,Cranial nerves with parasympathetics,III (Oculomotor),VII (Facial),IX (Glossopharyngeal),X (Vagus),green
02-24,Cerebellar deep nuclei,Dentate,Emboliform,Globose,Fastigial,blue
02-24,Dementia medications,Donepezil,Rivastigmine,Galantamine,Memantine,purple
02-25,MRI sequences,T1,T2,FLAIR,DWI,yellow
02-25,Early ischemic CT signs,Hyperdense MCA sign,Insular ribbon loss,Loss of gray–white,Sulcal effacement,green
02-25,CNS demyelinating disorders,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
02-25,Migraine abortives,Sumatriptan,Ubrogepant,Rimegepant,Dihydroergotamine,purple
02-26,Visual pathway anatomy,Optic nerve,Optic chiasm,Optic tract,Optic radiations,yellow
02-26,MS lesion topography,Periventricular,Juxtacortical,Infratentorial,Spinal cord,green
02-26,Neuromuscular junction disorders,Myasthenia gravis,Lambert-Eaton,Botulism,Congenital myasthenic,blue
02-26,Migraine preventives,Topiramate,Propranolol,Amitriptyline,Erenumab,purple
02-27,Glial cell types,Astrocyte,Oligodendrocyte,Microglia,Ependymal cell,yellow
02-27,Trigeminal autonomic cephalalgias,Cluster headache,Paroxysmal hemicrania,SUNCT,SUNA,green
02-27,Motor neuron diseases,ALS,SMA,PLS,PMA,blue
02-27,Peripheral neuropathy types,Axonal,Demyelinating,Small fiber,Large fiber,purple
02-28,Tremor types,Rest,Postural,Intention,Task-specific,yellow
02-28,Pediatric epilepsy syndromes,West (infantile spasms),Lennox–Gastaut,Dravet,Childhood absence epilepsy,green
02-28,Gait patterns,Hemiparetic,Ataxic,Steppage,Parkinsonian,blue
02-28,Toxic neuropathies,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
02-29,Seizure types (ILAE),Focal aware,Focal impaired awareness,Generalized tonic-clonic,Absence,yellow
02-29,Parkinson therapies,Levodopa,Pramipexole,Selegiline,Amantadine,green
02-29,Evoked potentials,VEP,SSEP,BAER,MEP,blue
02-29,GBS variants,AIDP,AMAN,AMSAN,Miller Fisher,purple
03-01,Hearing loss types,Conductive,Sensorineural,Mixed,Central,yellow
03-01,Brainstem stroke syndromes,Lateral medullary,Medial medullary,Lateral pontine,Medial pontine,green
03-01,MS disease-modifying therapies,Ocrelizumab,Natalizumab,Fingolimod,Teriflunomide,blue
03-01,Stroke mimics,Seizure,Hemiplegic migraine,Hypoglycemia,Conversion disorder,purple
03-02,Hydrocephalus categories,Communicating,Obstructive (non-communicating),Normal pressure,Ex vacuo,yellow
03-02,Eye movement disorders,Internuclear ophthalmoplegia,Skew deviation,Parinaud syndrome,One-and-a-half syndrome,green
03-02,Status epilepticus sequence,Benzodiazepine,Levetiracetam,Fosphenytoin,Propofol,blue
03-02,Antiplatelets for stroke,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
03-03,Headache red flags (SNOOP),Systemic,Neurologic,Onset sudden,Older age,yellow
03-03,NMJ antibodies,Anti–AChR,Anti–MuSK,Anti–LRP4,Anti–P/Q-type VGCC,green
03-03,Common mononeuropathies,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
03-03,Direct oral anticoagulants,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
03-04,Common reflexes,Biceps,Triceps,Patellar,Achilles,yellow
03-04,Aphasia types,Broca,Wernicke,Conduction,Global,green
03-04,Demyelination on NCS/EMG,Slowed velocity,Conduction block,Prolonged distal latency,Temporal dispersion,blue
03-04,CVT imaging signs,Empty delta sign,Cord sign,SWI blooming,Hyperdense sinus,purple
03-05,Peripheral nerve fiber types,A-alpha,A-beta,A-delta,C,yellow
03-05,Carotid artery disorders,Dissection,Fibromuscular dysplasia,Atherosclerosis,Pseudoaneurysm,green
03-05,Pupillary syndromes,Horner,Argyll Robertson,Adie tonic pupil,Marcus Gunn RAPD,blue
03-05,Huntington disease features,Chorea,Psychiatric symptoms,Cognitive decline,Caudate atrophy,purple
03-06,Common stroke imaging,Non-contrast CT,CTA,CT Perfusion,MRI DWI,yellow
03-06,Prehospital LVO scales,RACE,LAMS,FAST-ED,PASS,green
03-06,Thunderclap headache causes,SAH,RCVS,Cervical dissection,Cerebral venous thrombosis,blue
03-06,Mitochondrial disorders,MELAS,MERRF,LHON,Leigh,purple
03-07,Parkinson cardinal features,Bradykinesia,Rigidity,Rest tremor,Postural instability,yellow
03-07,Visual pathway anatomy (retinotopy),Macula,Nasal retina,Temporal retina,Fovea,green
03-07,Focal seizure semiologies,Automotor,Aphasic,Hypermotor,Somatosensory,blue
03-07,Autoimmune myositis Abs,Anti–Jo-1,Mi-2,SRP,HMGCR,purple
03-08,Visual field defects,Bitemporal hemianopia,Homonymous hemianopia,Quadrantanopia,Central scotoma,yellow
03-08,CSF flow structures,Choroid plexus,Foramen of Monro,Aqueduct of Sylvius,Foramina of Luschka/Magendie,green
03-08,Ataxia types,Cerebellar,Sensory,Vestibular,Frontal,blue
03-08,Paraneoplastic syndromes,Lambert-Eaton,Opsoclonus–myoclonus,Subacute cerebellar degeneration,Sensory neuronopathy,purple
03-09,Cerebral lobes,Frontal,Parietal,Temporal,Occipital,yellow
03-09,Posterior circulation arteries,PICA,AICA,SCA,PCA,green
03-09,Basal ganglia nuclei,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
03-09,Thalamic relay nuclei,VPL,VPM,LGN,MGN,purple
03-10,Normal EEG rhythms,Alpha,Beta,Theta,Delta,yellow
03-10,Association fiber tracts,Arcuate fasciculus,Uncinate fasciculus,Cingulum,Inferior longitudinal fasciculus,green
03-10,Autoimmune encephalitis antibodies,Anti-NMDA,LGI1,CASPR2,GAD65,blue
03-10,Spinal cord syndromes,Anterior cord,Posterior cord,Central cord,Brown-Séquard,purple
03-11,Sleep stages,N1,N2,N3,REM,yellow
03-11,Major spinal cord tracts,Lateral corticospinal,Spinothalamic,Dorsal column–medial lemniscus,Spinocerebellar,green
03-11,Classic lacunar syndromes,Pure motor,Pure sensory,Ataxic hemiparesis,Dysarthria–clumsy hand,blue
03-11,CNS infections (immunocompromised),Toxoplasmosis,Cryptococcal meningitis,CMV encephalitis,PML,purple
03-12,Dementia types,Alzheimer,Lewy body,Frontotemporal,Vascular,yellow
03-12,Cranial nerves with parasympathetics,III (Oculomotor),VII (Facial),IX (Glossopharyngeal),X (Vagus),green
03-12,Cerebellar deep nuclei,Dentate,Emboliform,Globose,Fastigial,blue
03-12,Dementia medications,Donepezil,Rivastigmine,Galantamine,Memantine,purple
03-13,MRI sequences,T1,T2,FLAIR,DWI,yellow
03-13,Early ischemic CT signs,Hyperdense MCA sign,Insular ribbon loss,Loss of gray–white,Sulcal effacement,green
03-13,CNS demyelinating disorders,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
03-13,Migraine abortives,Sumatriptan,Ubrogepant,Rimegepant,Dihydroergotamine,purple
03-14,Visual pathway anatomy,Optic nerve,Optic chiasm,Optic tract,Optic radiations,yellow
03-14,MS lesion topography,Periventricular,Juxtacortical,Infratentorial,Spinal cord,green
03-14,Neuromuscular junction disorders,Myasthenia gravis,Lambert-Eaton,Botulism,Congenital myasthenic,blue
03-14,Migraine preventives,Topiramate,Propranolol,Amitriptyline,Erenumab,purple
03-15,Glial cell types,Astrocyte,Oligodendrocyte,Microglia,Ependymal cell,yellow
03-15,Trigeminal autonomic cephalalgias,Cluster headache,Paroxysmal hemicrania,SUNCT,SUNA,green
03-15,Motor neuron diseases,ALS,SMA,PLS,PMA,blue
03-15,Peripheral neuropathy types,Axonal,Demyelinating,Small fiber,Large fiber,purple
03-16,Tremor types,Rest,Postural,Intention,Task-specific,yellow
03-16,Pediatric epilepsy syndromes,West (infantile spasms),Lennox–Gastaut,Dravet,Childhood absence epilepsy,green
03-16,Gait patterns,Hemiparetic,Ataxic,Steppage,Parkinsonian,blue
03-16,Toxic neuropathies,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
