date,category,item1,item2,item3,item4,difficulty
1/10,Hearing loss types,Conductive,Sensorineural,Mixed,Central,yellow
1/10,Brainstem stroke syndromes,Lateral medullary,Medial medullary,Lateral pontine,Medial pontine,green
1/10,MS disease-modifying therapies,Ocrelizumab,Natalizumab,Fingolimod,Teriflunomide,blue
1/10,Stroke mimics,Seizure,Hemiplegic migraine,Hypoglycemia,Conversion disorder,purple
1/11,Hydrocephalus categories,Communicating,Obstructive (non-communicating),Normal pressure,Ex vacuo,yellow
1/11,Eye movement disorders,Internuclear ophthalmoplegia,Skew deviation,Parinaud syndrome,One-and-a-half syndrome,green
1/11,Status epilepticus sequence,Benzodiazepine,Levetiracetam,Fosphenytoin,Propofol,blue
1/11,Antiplatelets for stroke,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
1/12,Headache red flags (SNOOP),Systemic,Neurologic,Onset sudden,Older age,yellow
1/12,NMJ antibodies,Anti–AChR,Anti–MuSK,Anti–LRP4,Anti–P/Q-type VGCC,green
1/12,Common mononeuropathies,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
1/12,Direct oral anticoagulants,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
1/13,Common reflexes,Biceps,Triceps,Patellar,Achilles,yellow
1/13,Aphasia types,Broca,Wernicke,Conduction,Global,green
1/13,Demyelination on NCS/EMG,Slowed velocity,Conduction block,Prolonged distal latency,Temporal dispersion,blue
1/13,CVT imaging signs,Empty delta sign,Cord sign,SWI blooming,Hyperdense sinus,purple
1/14,Peripheral nerve fiber types,A-alpha,A-beta,A-delta,C,yellow
1/14,Carotid artery disorders,Dissection,Fibromuscular dysplasia,Atherosclerosis,Pseudoaneurysm,green
1/14,Pupillary syndromes,Horner,Argyll Robertson,Adie tonic pupil,Marcus Gunn RAPD,blue
1/14,Huntington disease features,Chorea,Psychiatric symptoms,Cognitive decline,Caudate atrophy,purple
1/15,Common stroke imaging,Non-contrast CT,CTA,CT Perfusion,MRI DWI,yellow
1/15,Prehospital LVO scales,RACE,LAMS,FAST-ED,PASS,green
1/15,Thunderclap headache causes,SAH,RCVS,Cervical dissection,Cerebral venous thrombosis,blue
1/15,Mitochondrial disorders,MELAS,MERRF,LHON,Leigh,purple
1/16,Cerebral lobes,Frontal,Parietal,Temporal,Occipital,yellow
1/16,Posterior circulation arteries,PICA,AICA,SCA,PCA,green
1/16,Basal ganglia nuclei,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
1/16,Thalamic relay nuclei,VPL,VPM,LGN,MGN,purple
1/17,Normal EEG rhythms,Alpha,Beta,Theta,Delta,yellow
1/17,Association fiber tracts,Arcuate fasciculus,Uncinate fasciculus,Cingulum,Inferior longitudinal fasciculus,green
1/17,Autoimmune encephalitis antibodies,Anti-NMDA,LGI1,CASPR2,GAD65,blue
1/17,Spinal cord syndromes,Anterior cord,Posterior cord,Central cord,Brown-Séquard,purple
1/18,Sleep stages,N1,N2,N3,REM,yellow
1/18,Major spinal cord tracts,Lateral corticospinal,Spinothalamic,Dorsal column–medial lemniscus,Spinocerebellar,green
1/18,Classic lacunar syndromes,Pure motor,Pure sensory,Ataxic hemiparesis,Dysarthria–clumsy hand,blue
1/18,CNS infections (immunocompromised),Toxoplasmosis,Cryptococcal meningitis,CMV encephalitis,PML,purple
1/19,Dementia types,Alzheimer,Lewy body,Frontotemporal,Vascular,yellow
1/19,Cranial nerves with parasympathetics,III (Oculomotor),VII (Facial),IX (Glossopharyngeal),X (Vagus),green
1/19,Cerebellar deep nuclei,Dentate,Emboliform,Globose,Fastigial,blue
1/19,Dementia medications,Donepezil,Rivastigmine,Galantamine,Memantine,purple
1/20,MRI sequences,T1,T2,FLAIR,DWI,yellow
1/20,Early ischemic CT signs,Hyperdense MCA sign,Insular ribbon loss,Loss of gray–white,Sulcal effacement,green
1/20,CNS demyelinating disorders,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
1/20,Migraine abortives,Sumatriptan,Ubrogepant,Rimegepant,Dihydroergotamine,purple
1/21,Visual pathway anatomy,Optic nerve,Optic chiasm,Optic tract,Optic radiations,yellow
1/21,MS lesion topography,Periventricular,Juxtacortical,Infratentorial,Spinal cord,green
1/21,Neuromuscular junction disorders,Myasthenia gravis,Lambert-Eaton,Botulism,Congenital myasthenic,blue
1/21,Migraine preventives,Topiramate,Propranolol,Amitriptyline,Erenumab,purple
1/22,Glial cell types,Astrocyte,Oligodendrocyte,Microglia,Ependymal cell,yellow
1/22,Trigeminal autonomic cephalalgias,Cluster headache,Paroxysmal hemicrania,SUNCT,SUNA,green
1/22,Motor neuron diseases,ALS,SMA,PLS,PMA,blue
1/22,Peripheral neuropathy types,Axonal,Demyelinating,Small fiber,Large fiber,purple
1/23,Tremor types,Rest,Postural,Intention,Task-specific,yellow
1/23,Pediatric epilepsy syndromes,West (infantile spasms),Lennox–Gastaut,Dravet,Childhood absence epilepsy,green
1/23,Gait patterns,Hemiparetic,Ataxic,Steppage,Parkinsonian,blue
1/23,Toxic neuropathies,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
1/24,Seizure types (ILAE),Focal aware,Focal impaired awareness,Generalized tonic-clonic,Absence,yellow
1/24,Parkinson therapies,Levodopa,Pramipexole,Selegiline,Amantadine,green
1/24,Evoked potentials,VEP,SSEP,BAER,MEP,blue
1/24,GBS variants,AIDP,AMAN,AMSAN,Miller Fisher,purple
1/25,Hearing loss types,Conductive,Sensorineural,Mixed,Central,yellow
1/25,Brainstem stroke syndromes,Lateral medullary,Medial medullary,Lateral pontine,Medial pontine,green
1/25,MS disease-modifying therapies,Ocrelizumab,Natalizumab,Fingolimod,Teriflunomide,blue
1/25,Stroke mimics,Seizure,Hemiplegic migraine,Hypoglycemia,Conversion disorder,purple
1/26,Hydrocephalus categories,Communicating,Obstructive (non-communicating),Normal pressure,Ex vacuo,yellow
1/26,Eye movement disorders,Internuclear ophthalmoplegia,Skew deviation,Parinaud syndrome,One-and-a-half syndrome,green
1/26,Status epilepticus sequence,Benzodiazepine,Levetiracetam,Fosphenytoin,Propofol,blue
1/26,Antiplatelets for stroke,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
1/27,Headache red flags (SNOOP),Systemic,Neurologic,Onset sudden,Older age,yellow
1/27,NMJ antibodies,Anti–AChR,Anti–MuSK,Anti–LRP4,Anti–P/Q-type VGCC,green
1/27,Common mononeuropathies,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
1/27,Direct oral anticoagulants,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
1/28,Common reflexes,Biceps,Triceps,Patellar,Achilles,yellow
1/28,Aphasia types,Broca,Wernicke,Conduction,Global,green
1/28,Demyelination on NCS/EMG,Slowed velocity,Conduction block,Prolonged distal latency,Temporal dispersion,blue
1/28,CVT imaging signs,Empty delta sign,Cord sign,SWI blooming,Hyperdense sinus,purple
1/29,Peripheral nerve fiber types,A-alpha,A-beta,A-delta,C,yellow
1/29,Carotid artery disorders,Dissection,Fibromuscular dysplasia,Atherosclerosis,Pseudoaneurysm,green
1/29,Pupillary syndromes,Horner,Argyll Robertson,Adie tonic pupil,Marcus Gunn RAPD,blue
1/29,Huntington disease features,Chorea,Psychiatric symptoms,Cognitive decline,Caudate atrophy,purple
1/30,Common stroke imaging,Non-contrast CT,CTA,CT Perfusion,MRI DWI,yellow
1/30,Prehospital LVO scales,RACE,LAMS,FAST-ED,PASS,green
1/30,Thunderclap headache causes,SAH,RCVS,Cervical dissection,Cerebral venous thrombosis,blue
1/30,Mitochondrial disorders,MELAS,MERRF,LHON,Leigh,purple
1/31,Cerebral lobes,Frontal,Parietal,Temporal,Occipital,yellow
1/31,Posterior circulation arteries,PICA,AICA,SCA,PCA,green
1/31,Basal ganglia nuclei,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
1/31,Thalamic relay nuclei,VPL,VPM,LGN,MGN,purple
2/1,Normal EEG rhythms,Alpha,Beta,Theta,Delta,yellow
2/1,Association fiber tracts,Arcuate fasciculus,Uncinate fasciculus,Cingulum,Inferior longitudinal fasciculus,green
2/1,Autoimmune encephalitis antibodies,Anti-NMDA,LGI1,CASPR2,GAD65,blue
2/1,Spinal cord syndromes,Anterior cord,Posterior cord,Central cord,Brown-Séquard,purple
2/2,Sleep stages,N1,N2,N3,REM,yellow
2/2,Major spinal cord tracts,Lateral corticospinal,Spinothalamic,Dorsal column–medial lemniscus,Spinocerebellar,green
2/2,Classic lacunar syndromes,Pure motor,Pure sensory,Ataxic hemiparesis,Dysarthria–clumsy hand,blue
2/2,CNS infections (immunocompromised),Toxoplasmosis,Cryptococcal meningitis,CMV encephalitis,PML,purple
2/3,Dementia types,Alzheimer,Lewy body,Frontotemporal,Vascular,yellow
2/3,Cranial nerves with parasympathetics,III (Oculomotor),VII (Facial),IX (Glossopharyngeal),X (Vagus),green
2/3,Cerebellar deep nuclei,Dentate,Emboliform,Globose,Fastigial,blue
2/3,Dementia medications,Donepezil,Rivastigmine,Galantamine,Memantine,purple
2/4,MRI sequences,T1,T2,FLAIR,DWI,yellow
2/4,Early ischemic CT signs,Hyperdense MCA sign,Insular ribbon loss,Loss of gray–white,Sulcal effacement,green
2/4,CNS demyelinating disorders,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
2/4,Migraine abortives,Sumatriptan,Ubrogepant,Rimegepant,Dihydroergotamine,purple
2/5,Visual pathway anatomy,Optic nerve,Optic chiasm,Optic tract,Optic radiations,yellow
2/5,MS lesion topography,Periventricular,Juxtacortical,Infratentorial,Spinal cord,green
2/5,Neuromuscular junction disorders,Myasthenia gravis,Lambert-Eaton,Botulism,Congenital myasthenic,blue
2/5,Migraine preventives,Topiramate,Propranolol,Amitriptyline,Erenumab,purple
2/6,Glial cell types,Astrocyte,Oligodendrocyte,Microglia,Ependymal cell,yellow
2/6,Trigeminal autonomic cephalalgias,Cluster headache,Paroxysmal hemicrania,SUNCT,SUNA,green
2/6,Motor neuron diseases,ALS,SMA,PLS,PMA,blue
2/6,Peripheral neuropathy types,Axonal,Demyelinating,Small fiber,Large fiber,purple
2/7,Tremor types,Rest,Postural,Intention,Task-specific,yellow
2/7,Pediatric epilepsy syndromes,West (infantile spasms),Lennox–Gastaut,Dravet,Childhood absence epilepsy,green
2/7,Gait patterns,Hemiparetic,Ataxic,Steppage,Parkinsonian,blue
2/7,Toxic neuropathies,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
2/8,Seizure types (ILAE),Focal aware,Focal impaired awareness,Generalized tonic-clonic,Absence,yellow
2/8,Parkinson therapies,Levodopa,Pramipexole,Selegiline,Amantadine,green
2/8,Evoked potentials,VEP,SSEP,BAER,MEP,blue
2/8,GBS variants,AIDP,AMAN,AMSAN,Miller Fisher,purple
2/9,Hearing loss types,Conductive,Sensorineural,Mixed,Central,yellow
2/9,Brainstem stroke syndromes,Lateral medullary,Medial medullary,Lateral pontine,Medial pontine,green
2/9,MS disease-modifying therapies,Ocrelizumab,Natalizumab,Fingolimod,Teriflunomide,blue
2/9,Stroke mimics,Seizure,Hemiplegic migraine,Hypoglycemia,Conversion disorder,purple
2/10,Hydrocephalus categories,Communicating,Obstructive (non-communicating),Normal pressure,Ex vacuo,yellow
2/10,Eye movement disorders,Internuclear ophthalmoplegia,Skew deviation,Parinaud syndrome,One-and-a-half syndrome,green
2/10,Status epilepticus sequence,Benzodiazepine,Levetiracetam,Fosphenytoin,Propofol,blue
2/10,Antiplatelets for stroke,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
2/11,Headache red flags (SNOOP),Systemic,Neurologic,Onset sudden,Older age,yellow
2/11,NMJ antibodies,Anti–AChR,Anti–MuSK,Anti–LRP4,Anti–P/Q-type VGCC,green
2/11,Common mononeuropathies,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
2/11,Direct oral anticoagulants,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
2/12,Common reflexes,Biceps,Triceps,Patellar,Achilles,yellow
2/12,Aphasia types,Broca,Wernicke,Conduction,Global,green
2/12,Demyelination on NCS/EMG,Slowed velocity,Conduction block,Prolonged distal latency,Temporal dispersion,blue
2/12,CVT imaging signs,Empty delta sign,Cord sign,SWI blooming,Hyperdense sinus,purple
2/13,Peripheral nerve fiber types,A-alpha,A-beta,A-delta,C,yellow
2/13,Carotid artery disorders,Dissection,Fibromuscular dysplasia,Atherosclerosis,Pseudoaneurysm,green
2/13,Pupillary syndromes,Horner,Argyll Robertson,Adie tonic pupil,Marcus Gunn RAPD,blue
2/13,Huntington disease features,Chorea,Psychiatric symptoms,Cognitive decline,Caudate atrophy,purple
2/14,Common stroke imaging,Non-contrast CT,CTA,CT Perfusion,MRI DWI,yellow
2/14,Prehospital LVO scales,RACE,LAMS,FAST-ED,PASS,green
2/14,Thunderclap headache causes,SAH,RCVS,Cervical dissection,Cerebral venous thrombosis,blue
2/14,Mitochondrial disorders,MELAS,MERRF,LHON,Leigh,purple
2/15,Cerebral lobes,Frontal,Parietal,Temporal,Occipital,yellow
2/15,Posterior circulation arteries,PICA,AICA,SCA,PCA,green
2/15,Basal ganglia nuclei,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
2/15,Thalamic relay nuclei,VPL,VPM,LGN,MGN,purple
2/16,Normal EEG rhythms,Alpha,Beta,Theta,Delta,yellow
2/16,Association fiber tracts,Arcuate fasciculus,Uncinate fasciculus,Cingulum,Inferior longitudinal fasciculus,green
2/16,Autoimmune encephalitis antibodies,Anti-NMDA,LGI1,CASPR2,GAD65,blue
2/16,Spinal cord syndromes,Anterior cord,Posterior cord,Central cord,Brown-Séquard,purple
2/17,Sleep stages,N1,N2,N3,REM,yellow
2/17,Major spinal cord tracts,Lateral corticospinal,Spinothalamic,Dorsal column–medial lemniscus,Spinocerebellar,green
2/17,Classic lacunar syndromes,Pure motor,Pure sensory,Ataxic hemiparesis,Dysarthria–clumsy hand,blue
2/17,CNS infections (immunocompromised),Toxoplasmosis,Cryptococcal meningitis,CMV encephalitis,PML,purple
2/18,Dementia types,Alzheimer,Lewy body,Frontotemporal,Vascular,yellow
2/18,Cranial nerves with parasympathetics,III (Oculomotor),VII (Facial),IX (Glossopharyngeal),X (Vagus),green
2/18,Cerebellar deep nuclei,Dentate,Emboliform,Globose,Fastigial,blue
2/18,Dementia medications,Donepezil,Rivastigmine,Galantamine,Memantine,purple
2/19,MRI sequences,T1,T2,FLAIR,DWI,yellow
2/19,Early ischemic CT signs,Hyperdense MCA sign,Insular ribbon loss,Loss of gray–white,Sulcal effacement,green
2/19,CNS demyelinating disorders,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
2/19,Migraine abortives,Sumatriptan,Ubrogepant,Rimegepant,Dihydroergotamine,purple
2/20,Visual pathway anatomy,Optic nerve,Optic chiasm,Optic tract,Optic radiations,yellow
2/20,MS lesion topography,Periventricular,Juxtacortical,Infratentorial,Spinal cord,green
2/20,Neuromuscular junction disorders,Myasthenia gravis,Lambert-Eaton,Botulism,Congenital myasthenic,blue
2/20,Migraine preventives,Topiramate,Propranolol,Amitriptyline,Erenumab,purple
2/21,Glial cell types,Astrocyte,Oligodendrocyte,Microglia,Ependymal cell,yellow
2/21,Trigeminal autonomic cephalalgias,Cluster headache,Paroxysmal hemicrania,SUNCT,SUNA,green
2/21,Motor neuron diseases,ALS,SMA,PLS,PMA,blue
2/21,Peripheral neuropathy types,Axonal,Demyelinating,Small fiber,Large fiber,purple
2/22,Tremor types,Rest,Postural,Intention,Task-specific,yellow
2/22,Pediatric epilepsy syndromes,West (infantile spasms),Lennox–Gastaut,Dravet,Childhood absence epilepsy,green
2/22,Gait patterns,Hemiparetic,Ataxic,Steppage,Parkinsonian,blue
2/22,Toxic neuropathies,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
2/23,Seizure types (ILAE),Focal aware,Focal impaired awareness,Generalized tonic-clonic,Absence,yellow
2/23,Parkinson therapies,Levodopa,Pramipexole,Selegiline,Amantadine,green
2/23,Evoked potentials,VEP,SSEP,BAER,MEP,blue
2/23,GBS variants,AIDP,AMAN,AMSAN,Miller Fisher,purple
2/24,Hearing loss types,Conductive,Sensorineural,Mixed,Central,yellow
2/24,Brainstem stroke syndromes,Lateral medullary,Medial medullary,Lateral pontine,Medial pontine,green
2/24,MS disease-modifying therapies,Ocrelizumab,Natalizumab,Fingolimod,Teriflunomide,blue
2/24,Stroke mimics,Seizure,Hemiplegic migraine,Hypoglycemia,Conversion disorder,purple
2/25,Hydrocephalus categories,Communicating,Obstructive (non-communicating),Normal pressure,Ex vacuo,yellow
2/25,Eye movement disorders,Internuclear ophthalmoplegia,Skew deviation,Parinaud syndrome,One-and-a-half syndrome,green
2/25,Status epilepticus sequence,Benzodiazepine,Levetiracetam,Fosphenytoin,Propofol,blue
2/25,Antiplatelets for stroke,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
2/26,Headache red flags (SNOOP),Systemic,Neurologic,Onset sudden,Older age,yellow
2/26,NMJ antibodies,Anti–AChR,Anti–MuSK,Anti–LRP4,Anti–P/Q-type VGCC,green
2/26,Common mononeuropathies,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
2/26,Direct oral anticoagulants,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
2/27,Common reflexes,Biceps,Triceps,Patellar,Achilles,yellow
2/27,Aphasia types,Broca,Wernicke,Conduction,Global,green
2/27,Demyelination on NCS/EMG,Slowed velocity,Conduction block,Prolonged distal latency,Temporal dispersion,blue
2/27,CVT imaging signs,Empty delta sign,Cord sign,SWI blooming,Hyperdense sinus,purple
2/28,Peripheral nerve fiber types,A-alpha,A-beta,A-delta,C,yellow
2/28,Carotid artery disorders,Dissection,Fibromuscular dysplasia,Atherosclerosis,Pseudoaneurysm,green
2/28,Pupillary syndromes,Horner,Argyll Robertson,Adie tonic pupil,Marcus Gunn RAPD,blue
2/28,Huntington disease features,Chorea,Psychiatric symptoms,Cognitive decline,Caudate atrophy,purple
3/1,Common stroke imaging,Non-contrast CT,CTA,CT Perfusion,MRI DWI,yellow
3/1,Prehospital LVO scales,RACE,LAMS,FAST-ED,PASS,green
3/1,Thunderclap headache causes,SAH,RCVS,Cervical dissection,Cerebral venous thrombosis,blue
3/1,Mitochondrial disorders,MELAS,MERRF,LHON,Leigh,purple
3/2,Cerebral lobes,Frontal,Parietal,Temporal,Occipital,yellow
3/2,Posterior circulation arteries,PICA,AICA,SCA,PCA,green
3/2,Basal ganglia nuclei,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
3/2,Thalamic relay nuclei,VPL,VPM,LGN,MGN,purple
3/3,Normal EEG rhythms,Alpha,Beta,Theta,Delta,yellow
3/3,Association fiber tracts,Arcuate fasciculus,Uncinate fasciculus,Cingulum,Inferior longitudinal fasciculus,green
3/3,Autoimmune encephalitis antibodies,Anti-NMDA,LGI1,CASPR2,GAD65,blue
3/3,Spinal cord syndromes,Anterior cord,Posterior cord,Central cord,Brown-Séquard,purple
3/4,Sleep stages,N1,N2,N3,REM,yellow
3/4,Major spinal cord tracts,Lateral corticospinal,Spinothalamic,Dorsal column–medial lemniscus,Spinocerebellar,green
3/4,Classic lacunar syndromes,Pure motor,Pure sensory,Ataxic hemiparesis,Dysarthria–clumsy hand,blue
3/4,CNS infections (immunocompromised),Toxoplasmosis,Cryptococcal meningitis,CMV encephalitis,PML,purple
3/5,Dementia types,Alzheimer,Lewy body,Frontotemporal,Vascular,yellow
3/5,Cranial nerves with parasympathetics,III (Oculomotor),VII (Facial),IX (Glossopharyngeal),X (Vagus),green
3/5,Cerebellar deep nuclei,Dentate,Emboliform,Globose,Fastigial,blue
3/5,Dementia medications,Donepezil,Rivastigmine,Galantamine,Memantine,purple
3/6,MRI sequences,T1,T2,FLAIR,DWI,yellow
3/6,Early ischemic CT signs,Hyperdense MCA sign,Insular ribbon loss,Loss of gray–white,Sulcal effacement,green
3/6,CNS demyelinating disorders,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
3/6,Migraine abortives,Sumatriptan,Ubrogepant,Rimegepant,Dihydroergotamine,purple
3/7,Visual pathway anatomy,Optic nerve,Optic chiasm,Optic tract,Optic radiations,yellow
3/7,MS lesion topography,Periventricular,Juxtacortical,Infratentorial,Spinal cord,green
3/7,Neuromuscular junction disorders,Myasthenia gravis,Lambert-Eaton,Botulism,Congenital myasthenic,blue
3/7,Migraine preventives,Topiramate,Propranolol,Amitriptyline,Erenumab,purple
3/8,Glial cell types,Astrocyte,Oligodendrocyte,Microglia,Ependymal cell,yellow
3/8,Trigeminal autonomic cephalalgias,Cluster headache,Paroxysmal hemicrania,SUNCT,SUNA,green
3/8,Motor neuron diseases,ALS,SMA,PLS,PMA,blue
3/8,Peripheral neuropathy types,Axonal,Demyelinating,Small fiber,Large fiber,purple
3/9,Tremor types,Rest,Postural,Intention,Task-specific,yellow
3/9,Pediatric epilepsy syndromes,West (infantile spasms),Lennox–Gastaut,Dravet,Childhood absence epilepsy,green
3/9,Gait patterns,Hemiparetic,Ataxic,Steppage,Parkinsonian,blue
3/9,Toxic neuropathies,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
3/10,Seizure types (ILAE),Focal aware,Focal impaired awareness,Generalized tonic-clonic,Absence,yellow
3/10,Parkinson therapies,Levodopa,Pramipexole,Selegiline,Amantadine,green
3/10,Evoked potentials,VEP,SSEP,BAER,MEP,blue
3/10,GBS variants,AIDP,AMAN,AMSAN,Miller Fisher,purple
3/11,Hearing loss types,Conductive,Sensorineural,Mixed,Central,yellow
3/11,Brainstem stroke syndromes,Lateral medullary,Medial medullary,Lateral pontine,Medial pontine,green
3/11,MS disease-modifying therapies,Ocrelizumab,Natalizumab,Fingolimod,Teriflunomide,blue
3/11,Stroke mimics,Seizure,Hemiplegic migraine,Hypoglycemia,Conversion disorder,purple
3/12,Hydrocephalus categories,Communicating,Obstructive (non-communicating),Normal pressure,Ex vacuo,yellow
3/12,Eye movement disorders,Internuclear ophthalmoplegia,Skew deviation,Parinaud syndrome,One-and-a-half syndrome,green
3/12,Status epilepticus sequence,Benzodiazepine,Levetiracetam,Fosphenytoin,Propofol,blue
3/12,Antiplatelets for stroke,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
3/13,Headache red flags (SNOOP),Systemic,Neurologic,Onset sudden,Older age,yellow
3/13,NMJ antibodies,Anti–AChR,Anti–MuSK,Anti–LRP4,Anti–P/Q-type VGCC,green
3/13,Common mononeuropathies,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
3/13,Direct oral anticoagulants,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
3/14,Common reflexes,Biceps,Triceps,Patellar,Achilles,yellow
3/14,Aphasia types,Broca,Wernicke,Conduction,Global,green
3/14,Demyelination on NCS/EMG,Slowed velocity,Conduction block,Prolonged distal latency,Temporal dispersion,blue
3/14,CVT imaging signs,Empty delta sign,Cord sign,SWI blooming,Hyperdense sinus,purple
3/15,Peripheral nerve fiber types,A-alpha,A-beta,A-delta,C,yellow
3/15,Carotid artery disorders,Dissection,Fibromuscular dysplasia,Atherosclerosis,Pseudoaneurysm,green
3/15,Pupillary syndromes,Horner,Argyll Robertson,Adie tonic pupil,Marcus Gunn RAPD,blue
3/15,Huntington disease features,Chorea,Psychiatric symptoms,Cognitive decline,Caudate atrophy,purple
3/16,Common stroke imaging,Non-contrast CT,CTA,CT Perfusion,MRI DWI,yellow
3/16,Prehospital LVO scales,RACE,LAMS,FAST-ED,PASS,green
3/16,Thunderclap headache causes,SAH,RCVS,Cervical dissection,Cerebral venous thrombosis,blue
3/16,Mitochondrial disorders,MELAS,MERRF,LHON,Leigh,purple
3/17,Cerebral lobes,Frontal,Parietal,Temporal,Occipital,yellow
3/17,Posterior circulation arteries,PICA,AICA,SCA,PCA,green
3/17,Basal ganglia nuclei,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
3/17,Thalamic relay nuclei,VPL,VPM,LGN,MGN,purple
3/18,Normal EEG rhythms,Alpha,Beta,Theta,Delta,yellow
3/18,Association fiber tracts,Arcuate fasciculus,Uncinate fasciculus,Cingulum,Inferior longitudinal fasciculus,green
3/18,Autoimmune encephalitis antibodies,Anti-NMDA,LGI1,CASPR2,GAD65,blue
3/18,Spinal cord syndromes,Anterior cord,Posterior cord,Central cord,Brown-Séquard,purple
