date,category,item1,item2,item3,item4,difficulty
01-11,Lysosomal storage (neuro),Tay–Sachs,Gaucher,Niemann–Pick,Fabry,purple
01-11,Spinal nerve roots T5–T8,T5,T6,T7,T8,green
01-12,Bacterial meningitis (adult),S. pneumoniae,N. meningitidis,Listeria,H. influenzae,purple
01-12,Pupillary syndromes,Horner,Argyll Robertson,Adie tonic pupil,Marcus Gunn RAPD,green
01-12,Cranial nerves 2,CN V (Trigeminal),CN VI (Abducens),CN VII (Facial),CN VIII (Vestibulocochlear),yellow
01-12,Neurocutaneous disorders,NF1,NF2,Tuberous sclerosis,Sturge–Weber,blue
01-13,Trigeminal autonomic cephalalgias,Cluster,Paroxysmal hemicrania,SUNCT,SUNA,blue
01-13,Basilar perforators (zones),Paramedian,Short circumferential,Long circumferential,Pontine tegmental,green
01-13,CNS infections (immunocompromised),Toxoplasmosis,Cryptococcus,CMV encephalitis,PML,purple
01-13,Brodmann areas 17–20,BA17,BA18,BA19,BA20,yellow
01-14,Paraneoplastic Abs,Anti-Hu,Anti-Yo,Anti-Ri,Anti-Ma2,purple
01-14,Migraine preventives,Topiramate,Propranolol,Amitriptyline,Erenumab,blue
01-14,Cranial nerves with parasympathetics,III,VII,IX,X,green
01-14,Dermatomes T2–T5,T2,T3,T4,T5,yellow
01-15,Sleep stages,N1,N2,N3,REM,yellow
01-15,CNS demyelinating disorders,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
01-15,Antiplatelets for stroke,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
01-15,ACA segments,A1,A2,A3,A4,green
01-16,Common stroke imaging,Non-contrast CT,CTA,CT Perfusion,MRI DWI,yellow
01-16,Aphasia types,Broca,Wernicke,Conduction,Global,green
01-16,Motor neuron diseases,ALS,SMA,PLS,PMA,blue
01-16,GBS variants,AIDP,AMAN,AMSAN,Miller Fisher,purple
01-17,Cerebral herniation types,Subfalcine,Uncal,Tonsillar,Upward,blue
01-17,Early ischemic CT signs,Hyperdense MCA,Insular ribbon loss,Loss of gray–white,Sulcal effacement,green
01-17,Toxic neuropathies II,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
01-17,Brodmann areas 9–12,BA9,BA10,BA11,BA12,yellow
01-18,Brodmann areas 33–36,BA33,BA34,BA35,BA36,yellow
01-18,Direct oral anticoagulants II,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
01-18,Perfusion mismatch terms,Core,Penumbra,Mismatch ratio,Tmax delay,green
01-18,Basal ganglia loops,Motor loop,Oculomotor loop,Associative loop,Limbic loop,blue
01-19,Spinal nerve roots C5–C8,C5,C6,C7,C8,green
01-19,Pyramidal vs extrapyramidal signs II,Spasticity,Hyperreflexia,Rigidity,Bradykinesia,blue
01-19,Mitochondrial disorders II,MELAS,MERRF,LHON,Leigh,purple
01-19,Dermatomes S1–S4,S1,S2,S3,S4,yellow
01-20,Meninges,Dura mater,Arachnoid mater,Pia mater,Subarachnoid space,yellow
01-20,Hemorrhage on CT,Epidural,Subdural,Subarachnoid,Intraparenchymal,green
01-20,Encephalitis causes II,HSV-1,West Nile,Limbic autoimmune,Rabies,purple
01-20,Common mononeuropathies II,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
01-21,Parkinson cardinal features,Bradykinesia,Rigidity,Rest tremor,Postural instability,yellow
01-21,Autoimmune encephalitis Abs II,Anti-NMDA,LGI1,CASPR2,GAD65,purple
01-21,Dopaminergic pathways II,Nigrostriatal,Mesolimbic,Mesocortical,Tuberoinfundibular,blue
01-21,Association fiber tracts,Arcuate fasciculus,Uncinate fasciculus,Cingulum,Inferior longitudinal fasciculus,green
01-22,Brodmann areas 37–40,BA37,BA38,BA39,BA40,yellow
01-22,Spinal nerve roots T9–T12,T9,T10,T11,T12,green
01-22,Huntington disease features II,Chorea,Psychiatric,Cognitive decline,Caudate atrophy,purple
01-22,Cerebellar deep nuclei II,Dentate,Emboliform,Globose,Fastigial,blue
01-23,Ventricular system,Lateral ventricle,Third ventricle,Fourth ventricle,Cerebral aqueduct,yellow
01-23,Neuromuscular junction disorders II,Myasthenia gravis,Lambert–Eaton,Botulism,Congenital myasthenic,blue
01-23,Herpesviridae CNS II,HSV-1,HSV-2,VZV,CMV,purple
01-23,Susceptibility findings,Blooming on SWI,Microbleeds,Cavernoma,Hemorrhagic staining,green
01-24,Leukodystrophies II,Metachromatic,Krabbe,Canavan,Adrenoleukodystrophy,purple
01-24,Brodmann areas 25–28,BA25,BA26,BA27,BA28,yellow
01-24,Demyelination on NCS/EMG II,Slowed velocity,Conduction block,Prolonged latency,Temporal dispersion,blue
01-24,Status epilepticus sequence,Benzodiazepine,Levetiracetam,Fosphenytoin,Propofol,green
01-25,Dermatomes T6–T9,T6,T7,T8,T9,yellow
01-25,Normal EEG rhythms,Alpha,Beta,Theta,Delta,green
01-25,Trinucleotide repeats II,Huntington (CAG),Fragile X (CGG),Friedreich (GAA),Myotonic (CTG),purple
01-25,Migraine abortives II,Sumatriptan,Ubrogepant,Rimegepant,DHE,blue
01-26,Basal ganglia nuclei II,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
01-26,NMJ antibodies II,AChR,MuSK,LRP4,P/Q-type VGCC,purple
01-26,Prehospital LVO scales,RACE,LAMS,FAST-ED,PASS,green
01-26,Dementia types,Alzheimer,Lewy body,Frontotemporal,Vascular,yellow
01-27,Gait abnormalities II,Frontal,Spastic,Sensory ataxic,Antalgic,blue
01-27,Spinal nerve roots L1–L4,L1,L2,L3,L4,green
01-27,Brodmann areas 13–16,BA13,BA14,BA15,BA16,yellow
01-27,Lysosomal storage (neuro) II,Tay–Sachs,Gaucher,Niemann–Pick,Fabry,purple
01-28,Thunderclap etiologies II,SAH,RCVS,Cervical dissection,CVT,blue
01-28,Bacterial meningitis (adult) II,S. pneumoniae,N. meningitidis,Listeria,H. influenzae,purple
01-28,Post-stroke complications,Hemorrhagic transformation,Edema,Seizure,Depression,green
01-28,Cerebellar signs,Dysmetria,Dysdiadochokinesia,Intention tremor,Ataxia,yellow
01-29,Phakomatoses vascular II,Sturge–Weber,Von Hippel–Lindau,Cavernoma,Hereditary hemorrhagic telangiectasia,blue
01-29,Generalized epilepsy ASMs,Valproate,Levetiracetam,Ethosuximide,Lamotrigine,green
01-29,CNS infections (immunocompromised) II,Toxoplasmosis,Cryptococcus,CMV encephalitis,PML,purple
01-29,Dermatomes T10–L1,T10,T11,T12,L1,yellow
01-30,Neurocutaneous disorders II,NF1,NF2,Tuberous sclerosis,Sturge–Weber,blue
01-30,Normal EEG rhythms,Alpha,Beta,Theta,Delta,yellow
01-30,LVO territory,ICA terminus,M1,M2 superior,M2 inferior,green
01-30,Paraneoplastic Abs II,Anti-Hu,Anti-Yo,Anti-Ri,Anti-Ma2,purple
01-31,Brodmann areas 49–52,BA49,BA50,BA51,BA52,yellow
01-31,Trigeminal autonomic cephalalgias II,Cluster,Paroxysmal hemicrania,SUNCT,SUNA,blue
01-31,Focal epilepsy ASMs,Carbamazepine,Oxcarbazepine,Levetiracetam,Lacosamide,green
01-31,Antiplatelets for stroke II,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
02-01,GBS variants II,AIDP,AMAN,AMSAN,Miller Fisher,purple
02-01,Brodmann areas 21–24,BA21,BA22,BA23,BA24,yellow
02-01,Circle of Willis,ACA,MCA,PCA,PCoA,green
02-01,Migraine preventives II,Topiramate,Propranolol,Amitriptyline,Erenumab,blue
02-02,Dermatomes L2–L5,L2,L3,L4,L5,yellow
02-02,Pediatric epilepsy syndromes,West,Lennox–Gastaut,Dravet,Childhood absence,green
02-02,Toxic neuropathies III,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
02-02,CNS demyelinating disorders II,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
02-03,Brodmann areas 45–48,BA45,BA46,BA47,BA48,yellow
02-03,Visual pathway anatomy,Optic nerve,Optic chiasm,Optic tract,Optic radiations,green
02-03,Motor neuron diseases II,ALS,SMA,PLS,PMA,blue
02-03,Direct oral anticoagulants III,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
02-04,Cerebral herniation types II,Subfalcine,Uncal,Tonsillar,Upward,blue
02-04,Language domains,Naming,Fluency,Comprehension,Repetition,yellow
02-04,Spinal nerve roots T1–T4,T1,T2,T3,T4,green
02-04,Mitochondrial disorders III,MELAS,MERRF,LHON,Leigh,purple
02-05,Basal ganglia loops II,Motor loop,Oculomotor loop,Associative loop,Limbic loop,blue
02-05,Encephalitis causes III,HSV-1,West Nile,Limbic autoimmune,Rabies,purple
02-05,Brodmann areas 1–4,BA1,BA2,BA3,BA4,yellow
02-05,Vascular imaging,CTA,MRA,DSA,CT Perfusion,green
02-06,Autoimmune encephalitis Abs III,Anti-NMDA,LGI1,CASPR2,GAD65,purple
02-06,Vertebral artery segments,V1,V2,V3,V4,green
02-06,Pyramidal vs extrapyramidal signs III,Spasticity,Hyperreflexia,Rigidity,Bradykinesia,blue
02-06,Brodmann areas 41–44,BA41,BA42,BA43,BA44,yellow
02-07,Brodmann areas 29–32,BA29,BA30,BA31,BA32,yellow
02-07,Huntington disease features III,Chorea,Psychiatric,Cognitive decline,Caudate atrophy,purple
02-07,Common mononeuropathies III,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
02-07,MRI sequences,T1,T2,FLAIR,DWI,green
02-08,Herpesviridae CNS III,HSV-1,HSV-2,VZV,CMV,purple
02-08,Peripheral nerve fiber types,A-alpha,A-beta,A-delta,C,yellow
02-08,Brainstem stroke syndromes,Lateral medullary,Medial medullary,Lateral pontine,Medial pontine,green
02-08,Dopaminergic pathways III,Nigrostriatal,Mesolimbic,Mesocortical,Tuberoinfundibular,blue
02-09,Cranial nerves 3,CN IX (Glossopharyngeal),CN X (Vagus),CN XI (Spinal accessory),CN XII (Hypoglossal),yellow
02-09,Cerebellar deep nuclei III,Dentate,Emboliform,Globose,Fastigial,blue
02-09,Leukodystrophies III,Metachromatic,Krabbe,Canavan,Adrenoleukodystrophy,purple
02-09,Spinal nerve roots C1–C4 II,C1,C2,C3,C4,green
02-10,Neuromuscular junction disorders III,Myasthenia gravis,Lambert–Eaton,Botulism,Congenital myasthenic,blue
02-10,ASMs: Na⁺ channel blockers II,Carbamazepine,Phenytoin,Lamotrigine,Lacosamide,green
02-10,Primitive reflexes II,Grasp,Suck,Rooting,Moro,yellow
02-10,Trinucleotide repeats III,Huntington (CAG),Fragile X (CGG),Friedreich (GAA),Myotonic (CTG),purple
02-11,PCA segments II,P1,P2,P3,P4,green
02-11,Attention domains II,Sustained,Selective,Alternating,Divided,yellow
02-11,Demyelination on NCS/EMG III,Slowed velocity,Conduction block,Prolonged latency,Temporal dispersion,blue
02-11,NMJ antibodies III,AChR,MuSK,LRP4,P/Q-type VGCC,purple
02-12,Migraine abortives III,Sumatriptan,Ubrogepant,Rimegepant,DHE,blue
02-12,Dural venous sinuses II,Superior sagittal,Transverse,Sigmoid,Straight,green
02-12,Lysosomal storage (neuro) III,Tay–Sachs,Gaucher,Niemann–Pick,Fabry,purple
02-12,Cerebral lobes II,Frontal,Parietal,Temporal,Occipital,yellow
02-13,Brodmann areas 5–8 II,BA5,BA6,BA7,BA8,yellow
02-13,Basal ganglia nuclei III,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
02-13,Bacterial meningitis (adult) III,S. pneumoniae,N. meningitidis,Listeria,H. influenzae,purple
02-13,Stroke etiologies (TOAST) II,Large artery,Cardioembolic,Small vessel,Other,green
02-14,Major spinal cord tracts II,Lateral corticospinal,Spinothalamic,Dorsal column–ML,Spinocerebellar,green
02-14,CNS infections (immunocompromised) III,Toxoplasmosis,Cryptococcus,CMV encephalitis,PML,purple
02-14,Gait abnormalities III,Frontal,Spastic,Sensory ataxic,Antalgic,blue
02-14,Dermatomes C6–T1 II,C6,C7,C8,T1,yellow
02-15,Common neurotransmitters II,Glutamate,GABA,Dopamine,Serotonin,yellow
02-15,Paraneoplastic Abs III,Anti-Hu,Anti-Yo,Anti-Ri,Anti-Ma2,purple
02-15,Thunderclap etiologies III,SAH,RCVS,Cervical dissection,CVT,blue
02-15,Spinal nerve roots L5–S3 II,L5,S1,S2,S3,green
02-16,Antiplatelets for stroke III,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
02-16,Cerebellar arteries II,SCA,AICA,PICA,PICA tonsillar,green
02-16,Memory systems II,Working,Episodic,Semantic,Procedural,yellow
02-16,Phakomatoses vascular III,Sturge–Weber,Von Hippel–Lindau,Cavernoma,Hereditary hemorrhagic telangiectasia,blue
02-17,MCA segments II,M1,M2,M3,M4,green
02-17,Dermatomes C2–C5 II,C2,C3,C4,C5,yellow
02-17,Neurocutaneous disorders III,NF1,NF2,Tuberous sclerosis,Sturge–Weber,blue
02-17,GBS variants III,AIDP,AMAN,AMSAN,Miller Fisher,purple
02-18,Trigeminal autonomic cephalalgias III,Cluster,Paroxysmal hemicrania,SUNCT,SUNA,blue
02-18,Gait patterns II,Hemiparetic,Ataxic,Steppage,Parkinsonian,yellow
02-18,Visual field defects II,Bitemporal hemianopia,Homonymous hemianopia,Quadrantanopia,Central scotoma,green
02-18,Toxic neuropathies IV,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
02-19,Spinal nerve roots T5–T8 II,T5,T6,T7,T8,green
02-19,Migraine preventives III,Topiramate,Propranolol,Amitriptyline,Erenumab,blue
02-19,Direct oral anticoagulants IV,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
02-19,Common reflexes II,Biceps,Triceps,Patellar,Achilles,yellow
02-20,Mitochondrial disorders IV,MELAS,MERRF,LHON,Leigh,purple
02-20,Cranial nerves 1 II,CN I (Olfactory),CN II (Optic),CN III (Oculomotor),CN IV (Trochlear),yellow
02-20,CNS demyelinating disorders III,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
02-20,Pupillary syndromes II,Horner,Argyll Robertson,Adie tonic pupil,Marcus Gunn RAPD,green
02-21,Cranial nerves 2 II,CN V (Trigeminal),CN VI (Abducens),CN VII (Facial),CN VIII (Vestibulocochlear),yellow
02-21,Motor neuron diseases III,ALS,SMA,PLS,PMA,blue
02-21,Basilar perforators (zones) II,Paramedian,Short circumferential,Long circumferential,Pontine tegmental,green
02-21,Encephalitis causes IV,HSV-1,West Nile,Limbic autoimmune,Rabies,purple
02-22,Cranial nerves with parasympathetics II,III,VII,IX,X,green
02-22,Autoimmune encephalitis Abs IV,Anti-NMDA,LGI1,CASPR2,GAD65,purple
02-22,Brodmann areas 17–20 II,BA17,BA18,BA19,BA20,yellow
02-22,Cerebral herniation types III,Subfalcine,Uncal,Tonsillar,Upward,blue
02-23,Basal ganglia loops III,Motor loop,Oculomotor loop,Associative loop,Limbic loop,blue
02-23,ACA segments II,A1,A2,A3,A4,green
02-23,Huntington disease features IV,Chorea,Psychiatric,Cognitive decline,Caudate atrophy,purple
02-23,Dermatomes T2–T5 II,T2,T3,T4,T5,yellow
02-24,Pyramidal vs extrapyramidal signs IV,Spasticity,Hyperreflexia,Rigidity,Bradykinesia,blue
02-24,Herpesviridae CNS IV,HSV-1,HSV-2,VZV,CMV,purple
02-24,Sleep stages II,N1,N2,N3,REM,yellow
02-24,Aphasia types II,Broca,Wernicke,Conduction,Global,green
02-25,Early ischemic CT signs II,Hyperdense MCA,Insular ribbon loss,Loss of gray–white,Sulcal effacement,green
02-25,Common stroke imaging II,Non-contrast CT,CTA,CT Perfusion,MRI DWI,yellow
02-25,Leukodystrophies IV,Metachromatic,Krabbe,Canavan,Adrenoleukodystrophy,purple
02-25,Common mononeuropathies IV,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
02-26,Dopaminergic pathways IV,Nigrostriatal,Mesolimbic,Mesocortical,Tuberoinfundibular,blue
02-26,Perfusion mismatch terms II,Core,Penumbra,Mismatch ratio,Tmax delay,green
02-26,Brodmann areas 9–12 II,BA9,BA10,BA11,BA12,yellow
02-26,Trinucleotide repeats IV,Huntington (CAG),Fragile X (CGG),Friedreich (GAA),Myotonic (CTG),purple
02-27,Spinal nerve roots C5–C8 II,C5,C6,C7,C8,green
02-27,Brodmann areas 33–36 II,BA33,BA34,BA35,BA36,yellow
02-27,NMJ antibodies IV,AChR,MuSK,LRP4,P/Q-type VGCC,purple
02-27,Cerebellar deep nuclei IV,Dentate,Emboliform,Globose,Fastigial,blue
02-28,Dermatomes S1–S4 II,S1,S2,S3,S4,yellow
02-28,Lysosomal storage (neuro) IV,Tay–Sachs,Gaucher,Niemann–Pick,Fabry,purple
02-28,Neuromuscular junction disorders IV,Myasthenia gravis,Lambert–Eaton,Botulism,Congenital myasthenic,blue
02-28,Hemorrhage on CT II,Epidural,Subdural,Subarachnoid,Intraparenchymal,green
02-29,Meninges II,Dura mater,Arachnoid mater,Pia mater,Subarachnoid space,yellow
02-29,Bacterial meningitis (adult) IV,S. pneumoniae,N. meningitidis,Listeria,H. influenzae,purple
02-29,Demyelination on NCS/EMG IV,Slowed velocity,Conduction block,Prolonged latency,Temporal dispersion,blue
02-29,Association fiber tracts II,Arcuate fasciculus,Uncinate fasciculus,Cingulum,Inferior longitudinal fasciculus,green
03-01,Parkinson cardinal features II,Bradykinesia,Rigidity,Rest tremor,Postural instability,yellow
03-01,Migraine abortives IV,Sumatriptan,Ubrogepant,Rimegepant,DHE,blue
03-01,CNS infections (immunocompromised) IV,Toxoplasmosis,Cryptococcus,CMV encephalitis,PML,purple
03-01,Spinal nerve roots T9–T12 II,T9,T10,T11,T12,green
03-02,Susceptibility findings II,Blooming on SWI,Microbleeds,Cavernoma,Hemorrhagic staining,green
03-02,Brodmann areas 37–40 II,BA37,BA38,BA39,BA40,yellow
03-02,Basal ganglia nuclei IV,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
03-02,Paraneoplastic Abs IV,Anti-Hu,Anti-Yo,Anti-Ri,Anti-Ma2,purple
03-03,Status epilepticus sequence II,Benzodiazepine,Levetiracetam,Fosphenytoin,Propofol,green
03-03,Ventricular system II,Lateral ventricle,Third ventricle,Fourth ventricle,Cerebral aqueduct,yellow
03-03,Antiplatelets for stroke IV,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
03-03,Gait abnormalities IV,Frontal,Spastic,Sensory ataxic,Antalgic,blue
03-04,Thunderclap etiologies IV,SAH,RCVS,Cervical dissection,CVT,blue
03-04,Normal EEG rhythms II,Alpha,Beta,Theta,Delta,green
03-04,Brodmann areas 25–28 II,BA25,BA26,BA27,BA28,yellow
03-04,GBS variants IV,AIDP,AMAN,AMSAN,Miller Fisher,purple
03-05,Dermatomes T6–T9 II,T6,T7,T8,T9,yellow
03-05,Phakomatoses vascular IV,Sturge–Weber,Von Hippel–Lindau,Cavernoma,Hereditary hemorrhagic telangiectasia,blue
03-05,Prehospital LVO scales II,RACE,LAMS,FAST-ED,PASS,green
03-05,Toxic neuropathies 5,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
03-06,Neurocutaneous disorders IV,NF1,NF2,Tuberous sclerosis,Sturge–Weber,blue
03-06,Spinal nerve roots L1–L4 II,L1,L2,L3,L4,green
03-06,Dementia types II,Alzheimer,Lewy body,Frontotemporal,Vascular,yellow
03-06,Direct oral anticoagulants 5,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
03-07,Brodmann areas 13–16 II,BA13,BA14,BA15,BA16,yellow
03-07,Mitochondrial disorders 5,MELAS,MERRF,LHON,Leigh,purple
03-07,Trigeminal autonomic cephalalgias IV,Cluster,Paroxysmal hemicrania,SUNCT,SUNA,blue
03-07,Post-stroke complications II,Hemorrhagic transformation,Edema,Seizure,Depression,green
03-08,Cerebellar signs II,Dysmetria,Dysdiadochokinesia,Intention tremor,Ataxia,yellow
03-08,Encephalitis causes 5,HSV-1,West Nile,Limbic autoimmune,Rabies,purple
03-08,Migraine preventives IV,Topiramate,Propranolol,Amitriptyline,Erenumab,blue
03-08,Generalized epilepsy ASMs II,Valproate,Levetiracetam,Ethosuximide,Lamotrigine,green
03-09,Dermatomes T10–L1 II,T10,T11,T12,L1,yellow
03-09,LVO territory II,ICA terminus,M1,M2 superior,M2 inferior,green
03-09,CNS demyelinating disorders IV,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
03-09,Autoimmune encephalitis Abs 5,Anti-NMDA,LGI1,CASPR2,GAD65,purple
03-10,Huntington disease features 5,Chorea,Psychiatric,Cognitive decline,Caudate atrophy,purple
03-10,Normal EEG rhythms II,Alpha,Beta,Theta,Delta,yellow
03-10,Focal epilepsy ASMs II,Carbamazepine,Oxcarbazepine,Levetiracetam,Lacosamide,green
03-10,Motor neuron diseases IV,ALS,SMA,PLS,PMA,blue
03-11,Cerebral herniation types IV,Subfalcine,Uncal,Tonsillar,Upward,blue
03-11,Brodmann areas 49–52 II,BA49,BA50,BA51,BA52,yellow
03-11,Herpesviridae CNS 5,HSV-1,HSV-2,VZV,CMV,purple
03-11,Circle of Willis II,ACA,MCA,PCA,PCoA,green
03-12,Leukodystrophies 5,Metachromatic,Krabbe,Canavan,Adrenoleukodystrophy,purple
03-12,Brodmann areas 21–24 II,BA21,BA22,BA23,BA24,yellow
03-12,Pediatric epilepsy syndromes II,West,Lennox–Gastaut,Dravet,Childhood absence,green
03-12,Basal ganglia loops IV,Motor loop,Oculomotor loop,Associative loop,Limbic loop,blue
03-13,Trinucleotide repeats 5,Huntington (CAG),Fragile X (CGG),Friedreich (GAA),Myotonic (CTG),purple
03-13,Visual pathway anatomy II,Optic nerve,Optic chiasm,Optic tract,Optic radiations,green
03-13,Dermatomes L2–L5 II,L2,L3,L4,L5,yellow
03-13,Pyramidal vs extrapyramidal signs 5,Spasticity,Hyperreflexia,Rigidity,Bradykinesia,blue
03-14,Brodmann areas 45–48 II,BA45,BA46,BA47,BA48,yellow
03-14,Common mononeuropathies 5,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
03-14,Spinal nerve roots T1–T4 II,T1,T2,T3,T4,green
03-14,NMJ antibodies 5,AChR,MuSK,LRP4,P/Q-type VGCC,purple
03-15,Dopaminergic pathways 5,Nigrostriatal,Mesolimbic,Mesocortical,Tuberoinfundibular,blue
03-15,Vascular imaging II,CTA,MRA,DSA,CT Perfusion,green
03-15,Language domains II,Naming,Fluency,Comprehension,Repetition,yellow
03-15,Lysosomal storage (neuro) 5,Tay–Sachs,Gaucher,Niemann–Pick,Fabry,purple
03-16,Bacterial meningitis (adult) 5,S. pneumoniae,N. meningitidis,Listeria,H. influenzae,purple
03-16,Vertebral artery segments II,V1,V2,V3,V4,green
03-16,Brodmann areas 1–4 II,BA1,BA2,BA3,BA4,yellow
03-16,Cerebellar deep nuclei 5,Dentate,Emboliform,Globose,Fastigial,blue
03-17,MRI sequences II,T1,T2,FLAIR,DWI,green
03-17,Brodmann areas 41–44 II,BA41,BA42,BA43,BA44,yellow
03-17,Neuromuscular junction disorders 5,Myasthenia gravis,Lambert–Eaton,Botulism,Congenital myasthenic,blue
03-17,CNS infections (immunocompromised) 5,Toxoplasmosis,Cryptococcus,CMV encephalitis,PML,purple
03-18,Demyelination on NCS/EMG 5,Slowed velocity,Conduction block,Prolonged latency,Temporal dispersion,blue
03-18,Paraneoplastic Abs 5,Anti-Hu,Anti-Yo,Anti-Ri,Anti-Ma2,purple
03-18,Brodmann areas 29–32 II,BA29,BA30,BA31,BA32,yellow
03-18,Brainstem stroke syndromes II,Lateral medullary,Medial medullary,Lateral pontine,Medial pontine,green
03-19,Peripheral nerve fiber types II,A-alpha,A-beta,A-delta,C,yellow
03-19,Antiplatelets for stroke 5,Aspirin,Clopidogrel,Ticagrelor,Dipyridamole,purple
03-19,Spinal nerve roots C1–C4 III,C1,C2,C3,C4,green
03-19,Migraine abortives 5,Sumatriptan,Ubrogepant,Rimegepant,DHE,blue
03-20,Basal ganglia nuclei 5,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
