date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4
08-28,Visual field defects,altitudinal field defect,junctional scotoma,macular sparing,arcuate scotoma,blue,https://radiopaedia.org/articles/non-arteritic-anterior-ischaemic-optic-neuropathy?lang=us,https://www.ncbi.nlm.nih.gov/books/NBK542287/,https://radiopaedia.org/articles/posterior-cerebral-artery?lang=us,https://www.ncbi.nlm.nih.gov/books/NBK585112/
08-28,Autoimmune encephalitis,anti-NMDA encephalitis,LGI1 encephalitis,CASPR2 encephalitis,GAD65 encephalitis,purple,https://radiopaedia.org/articles/n-methyl-d-aspartic-acid-receptor-nmdar-antibody-encephalitis?lang=us,https://radiopaedia.org/articles/voltage-gated-potassium-channel-vgkc-antibody-encephalitis?lang=us,https://radiopaedia.org/articles/voltage-gated-potassium-channel-vgkc-antibody-encephalitis?lang=us,https://www.neurology.org/doi/10.1212/NXI.0000000000000696
08-29,Peripheral nerve lesions,carpal tunnel syndrome,cubital tunnel syndrome,radial neuropathy,meralgia paresthetica,green,https://www.ncbi.nlm.nih.gov/books/NBK448179/,https://www.ncbi.nlm.nih.gov/books/NBK538259/,https://www.ncbi.nlm.nih.gov/books/NBK557520/,https://www.ncbi.nlm.nih.gov/books/NBK557735/
08-29,Neuromuscular junction disorders,myasthenia gravis,Lambert-Eaton syndrome,botulism,congenital myasthenic syndrome,blue,https://www.ncbi.nlm.nih.gov/books/NBK559331/,https://radiopaedia.org/articles/lambert-eaton-myasthenic-syndrome,https://radiopaedia.org/articles/botulism,https://www.ncbi.nlm.nih.gov/books/NBK1168/
08-29,Primary brain tumors,glioblastoma,meningioma,vestibular schwannoma,hemangioblastoma,yellow,https://radiopaedia.org/articles/glioblastoma-idh-wildtype?lang=us,https://www.ncbi.nlm.nih.gov/books/NBK560538/,https://radiopaedia.org/articles/vestibular-schwannoma?lang=us,https://radiopaedia.org/articles/haemangioblastoma-central-nervous-system-2?lang=us
08-29,Cognitive disorders,Alzheimer disease,Lewy body dementia,frontotemporal dementia,vascular dementia,purple,https://www.ncbi.nlm.nih.gov/books/NBK499922/,https://www.ncbi.nlm.nih.gov/books/NBK482441/,https://radiopaedia.org/articles/frontotemporal-lobar-degeneration-1?lang=us,https://radiopaedia.org/articles/vascular-dementia?lang=us
08-30,Acute stroke imaging,non-contrast CT,CT angiography,CT perfusion,MRI DWI,yellow,https://radiopaedia.org/articles/ct-head-protocol?lang=us,https://radiopaedia.org/articles/ct-angiography-of-the-cerebral-arteries-protocol?lang=us,https://radiopaedia.org/articles/ct-perfusion-in-ischaemic-stroke?lang=us,https://radiopaedia.org/articles/diffusion-weighted-imaging-in-acute-ischaemic-stroke?lang=us
08-30,Visual pathway anatomy,optic nerve,optic chiasm,optic tract,optic radiations,green,https://radiopaedia.org/articles/optic-nerve?lang=us,https://radiopaedia.org/articles/optic-chiasm?lang=us,https://radiopaedia.org/articles/optic-tract?lang=us,https://radiopaedia.org/articles/optic-radiation-1?lang=us
08-30,MS disease-modifying therapies,ocrelizumab,natalizumab,fingolimod,teriflunomide,blue,https://www.ncbi.nlm.nih.gov/books/NBK547750/,https://www.ncbi.nlm.nih.gov/books/NBK548623/,https://www.ncbi.nlm.nih.gov/books/NBK548384/,https://www.ncbi.nlm.nih.gov/books/NBK253630/
08-30,Antimigraine triptans,sumatriptan,rizatriptan,zolmitriptan,eletriptan,purple,https://www.ncbi.nlm.nih.gov/books/NBK470206/,https://www.ncbi.nlm.nih.gov/books/NBK560787/,https://www.ncbi.nlm.nih.gov/books/NBK557649/,https://www.ncbi.nlm.nih.gov/books/NBK560787/
08-31,Encephalopathies,Wernicke encephalopathy,hepatic encephalopathy,hyperammonemic encephalopathy,hypoglycemic encephalopathy,green,https://www.ncbi.nlm.nih.gov/books/NBK470344/,https://www.ncbi.nlm.nih.gov/books/NBK430869/,https://www.ncbi.nlm.nih.gov/books/NBK557504/,https://www.ncbi.nlm.nih.gov/books/NBK554549/
08-31,Entrapment neuropathies,peroneal neuropathy,radial tunnel syndrome,Guyon canal syndrome,anterior interosseous syndrome,blue,https://www.ncbi.nlm.nih.gov/books/NBK549859/,https://www.ncbi.nlm.nih.gov/books/NBK555937/,https://www.ncbi.nlm.nih.gov/books/NBK499892/,https://www.ncbi.nlm.nih.gov/books/NBK525956/
08-31,CNS infections,HSV encephalitis,toxoplasma abscess,cryptococcal meningitis,neurosyphilis,yellow,https://radiopaedia.org/articles/herpes-simplex-encephalitis?lang=us,https://radiopaedia.org/articles/cerebral-toxoplasmosis?lang=us,https://radiopaedia.org/articles/cryptococcal-meningitis?lang=us,https://radiopaedia.org/articles/neurosyphilis?lang=us
08-31,Stroke syndromes,posterior cerebral artery infarct,anterior cerebral artery infarct,cerebellar infarction,basilar artery occlusion,purple,https://radiopaedia.org/articles/posterior-cerebral-artery-pca-infarct-1?lang=us,https://radiopaedia.org/articles/anterior-cerebral-artery-aca-infarct?lang=us,https://radiopaedia.org/articles/cerebellar-infarction?lang=us,https://radiopaedia.org/articles/acute-basilar-artery-occlusion?lang=us
